,UserID,ISBN,BookRating
27074,6392,067976402X,10
27153,6431,0439064864,10
27154,6431,0439136350,10
27155,6431,0439139597,10
27156,6431,043935806X,10
27162,6431,0590353403,10
27167,6431,0971880107,4
27206,6452,0452282829,5
27249,6501,0060976845,7
27254,6501,0684872153,6
27330,6532,0812550706,9
27340,6535,0385504209,10
27353,6537,0316284955,8
27358,6537,0385722206,6
27366,6537,0446672211,8
27406,6543,0060987103,10
27407,6543,0061009059,8
27454,6543,0142001740,9
27523,6543,0345342968,8
27579,6543,0385722206,6
27608,6543,0440212561,8
27617,6543,0446610038,9
27839,6563,0060915544,9
27844,6563,0060987103,8
27866,6563,0312278586,7
27909,6563,0385484518,10
27924,6563,0439139600,9
27925,6563,043935806X,10
27932,6563,0440211727,10
27934,6563,0440213525,9
27939,6563,0440226430,9
27984,6563,059035342X,8
27990,6563,0671021001,2
28009,6563,0684872153,1
28020,6563,0743418174,9
28027,6563,0786868716,10
28109,6566,0312983271,8
28122,6566,1400034779,9
28124,6568,0679746048,9
28143,6575,0060502258,8
28155,6575,0060928336,8
28161,6575,0060934417,9
28174,6575,0060987103,9
28209,6575,014028009X,4
28213,6575,0140293248,8
28216,6575,0140298479,6
28222,6575,0142001740,8
28253,6575,0312195516,8
28270,6575,0312966970,9
28289,6575,0316776963,8
28367,6575,0375706771,7
28374,6575,0375725784,7
28420,6575,0385335482,5
28426,6575,0385484518,6
28437,6575,0385720106,7
28440,6575,0385722206,9
28509,6575,0446606812,2
28513,6575,0446672211,8
28571,6575,0452282152,6
28596,6575,0553279912,7
28632,6575,0671001795,9
28663,6575,0679429220,6
28697,6575,0679746048,9
28707,6575,067976402X,7
28797,6575,0804106304,9
28882,6575,1400034779,9
28962,6577,067976402X,9
28964,6577,0743237188,9
28994,6592,0440222656,8
29051,6611,0842329129,9
29091,6637,0142001740,10
29151,6670,006101351X,8
29175,6679,0312195516,10
29178,6679,0446672211,9
29190,6689,0064407667,2
29353,6704,0142001740,10
29409,6764,0375727345,8
29414,6768,0385503822,10
29445,6772,0440206154,8
29459,6772,0446605239,5
29485,6772,0684872153,8
29499,6778,0316666343,8
29523,6789,0060502258,7
29527,6789,0375700757,10
29532,6789,0440226430,3
29563,6815,0385504209,10
29632,6866,0440225701,7
29668,6871,0440211727,4
29681,6884,0312924585,7
29683,6884,0380789035,8
29717,6900,0316284955,10
29766,6924,0060934417,7
29824,6991,0446605239,9
29847,7033,0060928336,9
29858,7037,0671510053,8
29909,7072,059035342X,7
29913,7078,0375726403,8
29923,7082,0061009059,8
29924,7082,0140067477,8
29933,7082,0312966970,5
29949,7082,0671001795,8
30006,7105,0142001740,7
30083,7105,0971880107,6
30100,7107,0060928336,8
30113,7119,067976402X,9
30128,7125,0060930535,8
30135,7125,0140293248,6
30172,7125,0375727345,7
30242,7125,0743418174,8
30261,7125,0786868716,10
30395,7134,0312195516,9
30412,7134,1400034779,7
30461,7158,0142000205,9
30600,7158,0446605239,10
30602,7158,0446608955,9
30610,7158,0446672211,8
30682,7158,0671510053,9
30841,7160,0446606812,9
30979,7218,0767902521,9
30985,7228,0446672211,8
31017,7248,0440213525,10
31060,7283,0060934417,10
31061,7283,0060987103,9
31067,7283,0312278586,9
31077,7283,0375707972,10
31082,7283,0385504209,9
31084,7283,0385722206,10
31088,7283,044023722X,10
31113,7283,0743418174,8
31162,7286,0345342968,10
31185,7286,0399501487,10
31382,7301,0140293248,10
31387,7306,0060930535,7
31405,7312,0380789019,2
31448,7319,0440219078,10
31526,7346,0060987103,7
31620,7346,0312924585,9
31626,7346,0312966970,8
31633,7346,0316096199,8
31681,7346,0345361792,9
31684,7346,0345370775,8
31732,7346,0375726403,8
31880,7346,0440221471,9
31886,7346,0440225701,10
31887,7346,0440234743,9
31890,7346,0440236673,8
31893,7346,0440241073,8
32191,7346,0590353403,10
32237,7346,0671001795,8
32329,7346,0684872153,7
32360,7346,0786868716,7
32372,7346,0804106304,9
32514,7352,0440234743,8
32538,7371,0060959037,9
32646,7409,0446310786,8
32660,7424,0316666343,7
32668,7426,0679429220,7
32720,7482,059035342X,8
32728,7507,0684872153,8
32743,7524,0385722206,8
32790,7557,0345342968,8
32883,7620,0312195516,10
32890,7620,0440211727,7
32891,7620,0440221471,7
32892,7620,044022165X,8
32905,7620,068484477X,6
32912,7621,1573229326,7
32934,7634,0385722206,8
32961,7651,0316769487,3
33032,7809,0140067477,10
33040,7809,059035342X,8
33047,7820,0743418174,8
33056,7841,0060987103,9
33062,7841,0316769487,7
33063,7841,0385486804,9
33066,7841,0446310786,5
33088,7856,0804106304,8
33095,7860,0440214041,8
33100,7860,0446672211,8
33111,7864,0345361792,7
33151,7874,0142001740,9
33230,7887,0684872153,10
33252,7887,1558743669,10
33302,7909,0452282829,4
33326,7915,0061009059,8
33351,7915,0312195516,10
33383,7915,0375706771,8
33396,7915,0385504209,10
33417,7915,0440212561,9
33422,7915,0440226430,7
33442,7915,0452282152,9
33497,7915,0786868716,10
33615,7958,0684801523,8
33621,7958,0804106304,10
33624,7958,0804114986,10
33682,7982,0515131229,6
33700,8006,0385504209,9
33709,8018,0553279912,9
33745,8019,0440220602,7
33844,8047,0743237188,9
33864,8066,0060502258,9
33880,8066,0142001740,10
33882,8066,0156027321,9
33925,8066,044023722X,7
33930,8066,0446672211,7
33967,8066,0743418174,8
34034,8067,0061009059,10
34036,8067,014028009X,5
34048,8067,0312966970,10
34058,8067,0312983271,10
34125,8067,0446606812,8
34170,8067,0671001795,10
34244,8086,0060928336,10
34248,8089,0440222656,10
34335,8115,0446310786,8
34351,8141,0446364193,8
34364,8154,0440241073,8
34449,8187,0312966970,8
34456,8187,0380731851,8
34461,8187,0671001795,8
34462,8188,0060938455,9
34466,8188,0684872153,10
34491,8220,0446672211,10
34504,8234,0316601950,8
34513,8234,044651652X,5
34548,8240,0440224675,8
34584,8245,0156027321,9
34589,8245,0312195516,9
34632,8245,0385722206,7
34651,8245,0439064872,8
34656,8245,044021145X,9
34662,8245,0440224764,8
34683,8245,0452282152,10
34685,8245,0452282829,6
34689,8245,0515131229,8
34720,8245,0684874350,8
34837,8253,0060915544,9
34841,8253,0060928336,10
34844,8253,0060930535,10
34880,8253,0316569321,10
34881,8253,0316601950,9
34882,8253,0316666343,10
34898,8253,0375726403,7
34933,8253,044021145X,9
34939,8253,0446310786,10
34948,8253,0449212602,10
34969,8253,0590353403,8
34974,8253,0671021001,10
34990,8253,067976402X,10
35027,8255,0156027321,8
35050,8268,0312278586,7
35265,8290,067976402X,10
35271,8296,0684801523,10
35279,8309,0440236673,8
35368,8361,0971880107,2
35455,8362,0452282829,8
35498,8370,0449212602,9
35533,8453,0971880107,3
35541,8454,0060987103,10
35547,8454,0140293248,7
35548,8454,0140298479,8
35550,8454,0142000205,7
35552,8454,0142001740,9
35558,8454,0156027321,9
35562,8454,0316569321,6
35563,8454,0316601950,9
35585,8454,0385720106,6
35619,8454,0743418174,8
35626,8454,0805063897,9
35721,8487,0440241073,7
35833,8529,0140293248,6
35846,8529,0439064864,10
35853,8529,0679429220,9
35923,8541,0385720106,6
35949,8580,0060928336,10
36003,8613,0060930535,10
36011,8630,1400034779,7
36013,8633,014028009X,9
36021,8652,0060928336,9
36076,8674,0971880107,1
36149,8681,0142001740,9
36177,8681,0312195516,8
36312,8681,0553572997,7
36313,8681,0590353403,8
36467,8682,0345417623,8
36577,8734,0312195516,9
36585,8734,0385504209,9
36597,8734,0449212602,9
36700,8772,0142000205,8
36704,8780,1558743669,5
36793,8782,0786868716,9
36829,8801,0060987103,9
36834,8801,0316666343,10
36835,8801,0316769487,8
36841,8801,0440241073,7
36848,8801,0671027360,10
36962,8840,0316601950,7
36963,8840,0446672211,7
36978,8853,0312291639,10
36985,8856,0312195516,7
37007,8864,1400034779,8
37020,8870,0380731851,7
37022,8870,0385265700,5
37023,8870,0385504209,7
37041,8870,0805063897,8
37046,8872,0316569321,5
37069,8874,0062502182,5
37468,8935,0440212561,10
37472,8935,0553572997,8
37816,8937,0671510053,10
37835,8952,0312924585,9
37842,8955,0812550706,9
37850,8961,0440226430,9
38181,9083,0440224675,4
38182,9083,0440236673,4
38199,9105,0312983271,6
38221,9138,0449005615,5
38387,9174,0375725784,7
38422,9177,0446364193,7
38448,9178,0446610038,8
38487,9203,0375707972,8
38496,9219,0743237188,10
38513,9226,0312291639,8
38527,9227,0345417623,7
38536,9227,0440236673,9
38713,9340,0060938455,9
38741,9343,0380731851,6
38742,9343,0385504209,8
38770,9354,0446606812,10
38890,9389,0440213525,8
38896,9394,0671510053,10
38941,9414,0971880107,7
39025,9417,0446310786,7
39031,9417,0446610038,7
39136,9419,0440234743,5
39183,9454,0385505833,6
39185,9454,044022165X,9
39209,9484,044021145X,10
39210,9486,0316666343,10
39217,9490,059035342X,10
39218,9492,0446610038,10
39270,9568,0446606812,8
39350,9579,0060392452,10
39387,9613,0439136350,7
39468,9637,059035342X,5
39479,9660,0140067477,10
39528,9714,0060934417,7
39540,9718,0385505833,8
39551,9721,0440219078,8
39558,9735,0440219078,9
39575,9747,0312278586,8
39626,9747,0446608955,10
39642,9747,0515131229,10
39648,9747,0553279912,10
39652,9747,059035342X,10
39763,9856,0345353145,6
39764,9856,0345361792,10
39804,9856,0439136369,10
39814,9856,0440224764,7
39981,9902,0684872153,7
40048,9908,0439136369,10
40049,9908,0439139600,10
40050,9908,043935806X,7
40076,9908,0451524934,6
40111,9908,059035342X,10
40501,10085,1558743669,10
40502,10090,0385504209,10
40509,10112,0345337662,7
40534,10118,0385484518,10
40555,10118,0671027360,10
40562,10118,0786868716,10
40588,10124,0380731851,8
40592,10134,0316769487,3
40608,10162,044022165X,6
40638,10199,0156027321,10
40639,10199,0316666343,7
40645,10199,0452282152,10
40674,10215,0345417623,6
40754,10313,0805063897,7
40762,10314,0060976845,9
40772,10314,0142000205,6
40778,10314,0312195516,9
40786,10314,0316601950,8
40787,10314,0316776963,7
40803,10314,0375700757,6
40814,10314,0385265700,6
40833,10314,0446310786,9
40867,10314,0553572997,8
40882,10314,068484477X,7
40891,10314,0743418174,9
40918,10314,1573229326,7
41109,10372,0060934417,8
41144,10441,0316666343,8
41150,10447,0060915544,9
41154,10447,0060928336,9
41157,10447,0060976845,8
41222,10447,0375700757,9
41256,10447,0385505833,7
41287,10447,0449212602,9
41299,10447,0452282152,7
41340,10447,068484477X,9
41345,10447,0743237188,3
41356,10447,0786868716,7
41393,10470,0345417623,7
41413,10494,0971880107,3
41525,10560,0312195516,9
41528,10560,0316666343,8
41557,10560,0385504209,10
41563,10560,0439064872,10
41564,10560,0439136369,10
41565,10560,0439139600,9
41566,10560,043935806X,10
41596,10560,059035342X,10
41599,10560,0671027360,8
41604,10560,0743418174,8
41632,10570,0971880107,3
41725,10607,0156027321,10
41728,10607,0385722206,10
41743,10619,0316601950,9
41765,10630,0684874350,9
41788,10654,0316776963,10
41850,10697,059035342X,10
42424,10921,0142001740,10
42504,10949,0440213525,8
42522,10959,0060976845,9
42622,11070,0316601950,5
42797,11155,044023722X,6
42806,11169,0345337662,9
42819,11179,0375725784,8
42830,11187,0385504209,7
42895,11224,0061009059,7
42900,11224,0316666343,9
42912,11224,0385504209,9
42920,11224,0440220602,7
42922,11224,0440224764,7
42924,11224,0440234743,6
42949,11224,0971880107,1
42989,11245,0440236673,7
43047,11266,0767902521,9
43063,11283,0440211727,10
43096,11325,0684874350,10
43113,11362,0345361792,10
43190,11400,0312195516,7
43208,11400,0440222656,6
43226,11400,0743418174,8
43229,11400,0786868716,9
43334,11474,0142001740,10
43340,11489,0375727345,9
43351,11507,0316769487,9
43358,11517,0156027321,10
43406,11529,1558743669,6
43433,11554,0971880107,1
43436,11567,0440222656,7
43455,11591,0316666343,8
43457,11594,0060928336,8
43488,11601,0060915544,10
43502,11601,0060938455,10
44065,11601,0446310786,10
45033,11609,0446610038,8
45244,11638,0385722206,7
45267,11654,0767902521,8
45305,11657,0804106304,7
45618,11676,0060502258,8
45734,11676,0060938455,10
45788,11676,0060987103,9
45812,11676,0061009059,8
45825,11676,006101351X,8
45959,11676,0062502182,10
46007,11676,0064407667,3
46254,11676,0140067477,8
46400,11676,014028009X,8
46427,11676,0140293248,5
46439,11676,0140298479,3
46595,11676,0142000205,8
46678,11676,0156027321,6
46899,11676,0312195516,10
46946,11676,0312278586,6
46957,11676,0312291639,9
46959,11676,0312305060,9
47076,11676,0312966970,7
47164,11676,0316096199,10
47209,11676,0316569321,10
47223,11676,0316666343,5
47246,11676,0316776963,8
47529,11676,0345313860,8
47573,11676,0345337662,6
47607,11676,0345361792,10
47619,11676,0345370775,8
47708,11676,0345417623,10
48257,11676,0375706771,6
48261,11676,0375707972,9
48275,11676,0375726403,7
48278,11676,0375727345,7
48447,11676,0380731851,6
48506,11676,0380789019,7
48670,11676,0385265700,7
48738,11676,0385335482,10
48780,11676,0385484518,9
48820,11676,0385503822,8
48823,11676,0385504209,9
48825,11676,0385505833,8
